track_id,title,artist,tempo,energy,danceability,valence,favorite
1,Midnight Pulse,Neon Skies,120,0.78,0.82,0.71,1
2,Ocean Signal,Blue Echo,98,0.54,0.63,0.49,1
3,Static Bloom,Quartz Lane,140,0.88,0.76,0.68,0
4,Velvet Drift,Noir Line,105,0.46,0.55,0.38,1
5,Glass Horizon,Rayfield,128,0.81,0.69,0.77,0
6,Analog Heart,City Phase,115,0.66,0.71,0.59,1
7,Copper Lights,Kite Harbor,92,0.42,0.48,0.31,0
8,Signal Fire,Volt Union,132,0.84,0.79,0.73,1
9,Soft Machines,Delta Suite,100,0.50,0.57,0.44,0
10,Night Drive,Neon Skies,124,0.75,0.80,0.70,1
